metric_x,metric_y,correlation
rent_growth_pct_z,rent_growth_pct_z,1.0
household_income_growth_pct_z,rent_growth_pct_z,0.42953058321479376
white_nonhispanic_growth_pct_z,rent_growth_pct_z,0.0723470839260313
listings_count,rent_growth_pct_z,0.3816964497727533
str_density,rent_growth_pct_z,0.29288762446657185
avg_revenue,rent_growth_pct_z,0.10520625889046942
pct_multi_listing_hosts,rent_growth_pct_z,0.022323556945752634
rent_growth_pct_z,household_income_growth_pct_z,0.42953058321479376
household_income_growth_pct_z,household_income_growth_pct_z,1.0
white_nonhispanic_growth_pct_z,household_income_growth_pct_z,0.46506401137980086
listings_count,household_income_growth_pct_z,0.25832327160333957
str_density,household_income_growth_pct_z,0.3539402560455192
avg_revenue,household_income_growth_pct_z,0.2652062588904694
pct_multi_listing_hosts,household_income_growth_pct_z,-0.1531632189426559
rent_growth_pct_z,white_nonhispanic_growth_pct_z,0.0723470839260313
household_income_growth_pct_z,white_nonhispanic_growth_pct_z,0.46506401137980086
white_nonhispanic_growth_pct_z,white_nonhispanic_growth_pct_z,1.0
listings_count,white_nonhispanic_growth_pct_z,0.23763291750821514
str_density,white_nonhispanic_growth_pct_z,0.41470839260312947
avg_revenue,white_nonhispanic_growth_pct_z,0.25061166429587484
pct_multi_listing_hosts,white_nonhispanic_growth_pct_z,-0.15117131456253774
rent_growth_pct_z,listings_count,0.3816964497727533
household_income_growth_pct_z,listings_count,0.25832327160333957
white_nonhispanic_growth_pct_z,listings_count,0.23763291750821514
listings_count,listings_count,1.0
str_density,listings_count,0.851266385520051
avg_revenue,listings_count,0.2889244904267549
pct_multi_listing_hosts,listings_count,-0.05868070203357692
rent_growth_pct_z,str_density,0.29288762446657185
household_income_growth_pct_z,str_density,0.3539402560455192
white_nonhispanic_growth_pct_z,str_density,0.41470839260312947
listings_count,str_density,0.851266385520051
str_density,str_density,1.0
avg_revenue,str_density,0.4167567567567568
pct_multi_listing_hosts,str_density,-0.07775541026675471
rent_growth_pct_z,avg_revenue,0.10520625889046942
household_income_growth_pct_z,avg_revenue,0.2652062588904694
white_nonhispanic_growth_pct_z,avg_revenue,0.25061166429587484
listings_count,avg_revenue,0.2889244904267549
str_density,avg_revenue,0.4167567567567568
avg_revenue,avg_revenue,1.0
pct_multi_listing_hosts,avg_revenue,-0.17794820058669739
rent_growth_pct_z,pct_multi_listing_hosts,0.022323556945752634
household_income_growth_pct_z,pct_multi_listing_hosts,-0.1531632189426559
white_nonhispanic_growth_pct_z,pct_multi_listing_hosts,-0.15117131456253774
listings_count,pct_multi_listing_hosts,-0.05868070203357692
str_density,pct_multi_listing_hosts,-0.07775541026675471
avg_revenue,pct_multi_listing_hosts,-0.17794820058669739
pct_multi_listing_hosts,pct_multi_listing_hosts,1.0
